listing_id,neighborhood,room_type,price_eur,minimum_nights,number_of_reviews,latitude,longitude,last_scraped
ATH-100000,Koukaki,Entire home/apt,96.5,5,26,37.975716,23.739781,2025-01-15
ATH-100001,Kolonaki,Entire home/apt,337.59,5,20,37.998394,23.700644,2025-01-15
ATH-100002,Kolonaki,Entire home/apt,155.97,2,18,37.992975,23.737298,2025-01-15
ATH-100003,Koukaki,Entire home/apt,136.79,5,16,37.992361,23.710687,2025-01-15
ATH-100004,Kallithea,Entire home/apt,43.63,1,19,37.958398,23.708693,2025-01-15
ATH-100005,Monastiraki,Entire home/apt,155.6,1,16,37.962226,23.715286,2025-01-15
ATH-100006,Syntagma,Private room,106.94,4,24,37.969052,23.719184,2025-01-15
ATH-100007,Vyronas,Private room,89.48,1,14,37.997276,23.727615,2025-01-15
ATH-100008,Neos Kosmos,Entire home/apt,116.45,2,23,37.987526,23.738224,2025-01-15
ATH-100009,Pangrati,Entire home/apt,102.48,4,19,37.971407,23.730271,2025-01-15
ATH-100010,Vyronas,Entire home/apt,89.04,1,16,37.984314,23.73624,2025-01-15
ATH-100011,Kolonaki,Entire home/apt,92.36,10,20,37.961666,23.72704,2025-01-15
ATH-100012,Plaka,Entire home/apt,142.03,5,15,38.011509,23.734228,2025-01-15
ATH-100013,Exarcheia,Entire home/apt,991.28,1,12,37.963922,23.748282,2025-01-15
ATH-100014,Monastiraki,Entire home/apt,152.1,1,14,37.996237,23.701601,2025-01-15
ATH-100015,Vyronas,Entire home/apt,165.4,2,15,37.992712,23.745701,2025-01-15
ATH-100016,,Private room,27.74,1,16,37.972706,23.719417,2025-01-15
ATH-100017,Pangrati,Entire home/apt,92.74,3,21,37.994773,23.752587,2025-01-15
ATH-100018,Kolonaki,Entire home/apt,115.67,10,18,37.962468,23.724977,2025-01-15
ATH-100019,Pangrati,Private room,57.86,1,18,37.981562,23.732982,2025-01-15
ATH-100020,Kypseli,Entire home/apt,39.77,2,20,37.988881,23.717858,2025-01-15
ATH-100021,Koukaki,Entire home/apt,188.33,2,17,38.018783,23.752936,2025-01-15
ATH-100022,Neos Kosmos,Entire home/apt,90.24,1,15,37.992513,23.718922,2025-01-15
ATH-100023,Monastiraki,Entire home/apt,151.89,5,16,37.990265,23.709016,2025-01-15
ATH-100024,Koukaki,Entire home/apt,73.01,5,14,37.987419,23.758596,2025-01-15
ATH-100025,Plaka,Entire home/apt,211.98,5,16,37.999964,23.688289,2025-01-15
ATH-100026,Vyronas,Entire home/apt,142.73,2,16,37.981683,23.732088,2025-01-15
ATH-100027,Syntagma,Private room,177.53,1,18,37.976991,23.693159,2025-01-15
ATH-100028,Metaxourgeio,Entire home/apt,107.52,3,12,38.00531,23.722319,2025-01-15
ATH-100029,Kypseli,Entire home/apt,€27.52,5,16,37.971734,23.757604,2025-01-15
ATH-100030,Vyronas,Entire home/apt,103.78,1,17,38.012093,23.71839,2025-01-15
ATH-100031,Ilion,Entire home/apt,53.22,1,16,37.990633,23.733218,2025-01-15
ATH-100032,Gazi,Entire home/apt,97.37,1,16,37.994353,23.779512,2025-01-15
ATH-100033,,Private room,102.87,3,23,37.944146,23.699805,2025-01-15
ATH-100034,Exarcheia,Private room,98.29,1,17,37.997121,23.700298,2025-01-15
ATH-100035,Plaka,Entire home/apt,167.42,2,18,38.012455,23.763625,2025-01-15
