show_id,type,title,rating,release_year,date_added,duration,country,listed_in,description,date_added_parsed,duration_value,duration_unit,date_added_year
s00001,TV Show,Title 0001,TV-Y,1966,"January 21, 2020",8 Seasons,Thailand,Thrillers,A short description.,2020-01-21,8,Seasons,2020.0
s00002,Movie,Title 0002,TV-14,1977,"November 27, 2011",107 min,"Australia, South Korea","Documentaries, International Movies, TV Comedies",A short description.,2011-11-27,107,Minutes,2011.0
s00003,TV Show,Title 0003,TV-PG,1952,"May 11, 2018",5 Seasons,Thailand,Dramas,A short description.,2018-05-11,5,Seasons,2018.0
s00004,TV Show,Title 0004,NR,1999,"September 18, 2017",7 Seasons,"Mexico, Thailand","Kids' TV, Thrillers",A short description.,2017-09-18,7,Seasons,2017.0
s00005,Movie,Title 0005,PG-13,2015,"October 05, 2017",91 min,"United States, Thailand",International Movies,A short description.,2017-10-05,91,Minutes,2017.0
s00006,Movie,Title 0006,TV-MA,2005,"January 24, 2015",149 min,Japan,Comedies,A short description.,2015-01-24,149,Minutes,2015.0
s00007,TV Show,Title 0007,TV-G,1971,"July 10, 2013",8 Seasons,Brazil,International Movies,A short description.,2013-07-10,8,Seasons,2013.0
s00008,TV Show,Title 0008,TV-MA,1984,"October 12, 2010",6 Seasons,South Africa,"Kids' TV, TV Dramas, Romantic Movies",A short description.,2010-10-12,6,Seasons,2010.0
s00009,Movie,Title 0009,TV-PG,2017,"May 21, 2010",74 min,Brazil,"Sports Movies, Horror Movies, Comedies",A short description.,2010-05-21,74,Minutes,2010.0
s00010,Movie,Title 0010,TV-PG,1980,"December 14, 2011",110 min,South Africa,"Sports Movies, Action & Adventure, TV Dramas",A short description.,2011-12-14,110,Minutes,2011.0
s00011,Movie,Title 0011,PG-13,2009,"October 22, 2015",155 min,Mexico,"Comedies, Thrillers",A short description.,2015-10-22,155,Minutes,2015.0
s00012,TV Show,Title 0012,TV-MA,1990,"July 21, 2011",2 Seasons,Canada,"Sports Movies, Independent Movies",A short description.,2011-07-21,2,Seasons,2011.0
s00013,Movie,Title 0013,TV-MA,1985,"July 21, 2017",116 min,Brazil,"Dramas, Independent Movies",A short description.,2017-07-21,116,Minutes,2017.0
s00014,TV Show,Title 0014,PG-13,1991,"October 26, 2016",7 Seasons,Germany,"Sports Movies, Thrillers",A short description.,2016-10-26,7,Seasons,2016.0
s00015,Movie,Title 0015,TV-MA,1965,"October 16, 2013",103 min,Australia,"Action & Adventure , Kids' TV",A short description.,2013-10-16,103,Minutes,2013.0
s00016,Movie,Title 0016,TV-14,1980,"December 17, 2010",131 min,Nigeria,"Romantic Movies, Comedies, TV Comedies",A short description.,2010-12-17,131,Minutes,2010.0
s00017,Movie,Title 0017,PG-13,1971,09/10/2015,108 min,Brazil,Horror Movies,A short description.,,108,Minutes,
s00018,Movie,Title 0018,R,2003,01/21/2019,69 min,Turkey,"Romantic Movies , Sports Movies",A short description.,,69,Minutes,
s00019,TV Show,Title 0019,TV-MA,1993,"May 02, 2014",5 Seasons,Thailand,International Movies,A short description.,2014-05-02,5,Seasons,2014.0
s00020,Movie,Title 0020,TV-14,1978,"November 16, 2018",141 min,Japan,"Sports Movies, International Movies",A short description.,2018-11-16,141,Minutes,2018.0
s00021,TV Show,Title 0021,NC-17,2008,"February 23, 2013",1 Season,Mexico,"Dramas, Action & Adventure",A short description.,2013-02-23,1,Seasons,2013.0
s00022,Movie,Title 0022,TV-14,1982,"November 18, 2010",164 min,"Brazil, India","Dramas, TV Dramas",A short description.,2010-11-18,164,Minutes,2010.0
s00023,Movie,Title 0023,TV-MA,2017,"February 24, 2017",80 min,Mexico,Thrillers,A short description.,2017-02-24,80,Minutes,2017.0
s00024,TV Show,Title 0024,TV-MA,1992,"October 09, 2019",6 Seasons,Spain,"Sports Movies, Thrillers",A short description.,2019-10-09,6,Seasons,2019.0
s00025,TV Show,Title 0025,TV-14,2012,"September 21, 2019",6 Seasons,Turkey,"Independent Movies, International Movies",A short description.,2019-09-21,6,Seasons,2019.0
s00026,Movie,Title 0026,,2020,"July 20, 2020",103 min,France,"TV Dramas, International Movies",A short description.,2020-07-20,103,Minutes,2020.0
s00027,Movie,Title 0027,TV-14,1973,"March 10, 2011",114 min,"Japan, Thailand","TV Dramas, Documentaries",A short description.,2011-03-10,114,Minutes,2011.0
s00028,Movie,Title 0028,TV-MA,1968,"June 24, 2010",147 min,Japan,"Dramas , Independent Movies , Documentaries",A short description.,2010-06-24,147,Minutes,2010.0
s00029,Movie,Title 0029,TV-14,2009,"April 07, 2016",84 min,Australia,"Action & Adventure, Independent Movies, Dramas",A short description.,2016-04-07,84,Minutes,2016.0
s00030,TV Show,Title 0030,TV-MA,1966,"June 15, 2020",7 Seasons,South Africa,"Thrillers, TV Dramas, TV Comedies",A short description.,2020-06-15,7,Seasons,2020.0
s00031,TV Show,Title 0031,TV-MA,2003,"December 23, 2020",2 Seasons,France,"Comedies, TV Comedies",A short description.,2020-12-23,2,Seasons,2020.0
s00032,Movie,Title 0032,,1962,"January 27, 2013",64 min,Brazil,International Movies,A short description.,2013-01-27,64,Minutes,2013.0
s00033,Movie,Title 0033,R,2011,"February 16, 2014",60 min,Brazil,"Documentaries, Comedies",A short description.,2014-02-16,60,Minutes,2014.0
s00034,Movie,Title 0034,TV-MA,1998,"April 25, 2017",123 min,"Brazil, United Kingdom","Thrillers, Independent Movies",A short description.,2017-04-25,123,Minutes,2017.0
s00035,Movie,Title 0035,TV-14,1986,"January 19, 2020",62 min,Brazil,"Dramas, Action & Adventure, Comedies",A short description.,2020-01-19,62,Minutes,2020.0
s00036,Movie,Title 0036,TV-MA,1981,"December 04, 2011",151 min,Germany,Documentaries,A short description.,2011-12-04,151,Minutes,2011.0
s00037,Movie,Title 0037,TV-MA,1995,09/25/2020,72 min,Japan,International Movies,A short description.,,72,Minutes,
s00038,Movie,Title 0038,TV-PG,1977,"December 29, 2018",64 min,Thailand,Horror Movies,A short description.,2018-12-29,64,Minutes,2018.0
s00039,Movie,Title 0039,TV-14,1978,"October 01, 2010",83 min,France,Sports Movies,A short description.,2010-10-01,83,Minutes,2010.0
s00040,TV Show,Title 0040,PG-13,1964,"April 06, 2019",7 Seasons,United States,"Sports Movies, Thrillers, TV Comedies",A short description.,2019-04-06,7,Seasons,2019.0
s00041,Movie,Title 0041,TV-Y,1961,"January 22, 2017",154 min,Turkey,TV Dramas,A short description.,2017-01-22,154,Minutes,2017.0
s00042,TV Show,Title 0042,TV-MA,2013,10/05/2020,4 Seasons,United Kingdom,"International Movies , Sports Movies",A short description.,,4,Seasons,
s00043,TV Show,Title 0043,TV-Y7,2003,"April 21, 2012",5 Seasons,South Africa,"Romantic Movies, International Movies, TV Comedies",A short description.,2012-04-21,5,Seasons,2012.0
s00044,Movie,Title 0044,TV-14,1981,"December 01, 2020",68 min,United States,"Horror Movies, Comedies",A short description.,2020-12-01,68,Minutes,2020.0
s00045,TV Show,Title 0045,TV-MA,2009,"July 11, 2010",5 Seasons,,Romantic Movies,A short description.,2010-07-11,5,Seasons,2010.0
s00046,TV Show,Title 0046,G,1993,"November 01, 2010",2 Seasons,"Brazil, Canada","Sports Movies, Comedies",A short description.,2010-11-01,2,Seasons,2010.0
s00047,Movie,Title 0047,TV-MA,1992,"December 04, 2014",64 min,Spain,"Thrillers, TV Dramas",A short description.,2014-12-04,64,Minutes,2014.0
