Order ID,Customer ID
ORD-000001,C00460
ORD-000002,C00028
ORD-000003,C01065
ORD-000004,C00773
ORD-000005,C00600
ORD-000006,C00972
ORD-000007,C00791
ORD-000008,C00781
ORD-000009,C01135
ORD-000010,C00575
ORD-000011,C00699
ORD-000012,C00480
ORD-000013,C01185
ORD-000014,C00903
ORD-000015,C00283
ORD-000016,C00574
ORD-000017,C01176
ORD-000018,C00837
ORD-000019,C00209
ORD-000020,C00540
ORD-000021,C01096
ORD-000022,C00939
ORD-000023,C00835
ORD-000024,C00050
ORD-000025,C01108
ORD-000026,C00621
ORD-000027,C00907
ORD-000028,C00110
ORD-000029,C00363
ORD-000030,C00304
ORD-000031,C00196
ORD-000032,C00265
ORD-000033,C01192
ORD-000034,C00848
ORD-000035,C00882
ORD-000036,C00934
ORD-000037,C01029
ORD-000038,C00429
ORD-000039,C00724
ORD-000040,C00995
ORD-000041,C00015
ORD-000042,C00718
ORD-000043,C01063
ORD-000044,C00810
ORD-000045,C00838
ORD-000046,C01198
ORD-000047,C01048
ORD-000048,C00840
ORD-000049,C00361
ORD-000050,C01132
ORD-000051,C00527
ORD-000052,C01164
ORD-000053,C01035
ORD-000054,C00174
ORD-000055,C01040
ORD-000056,C00734
ORD-000057,C00945
ORD-000058,C00922
ORD-000059,C00476
ORD-000060,C00188
ORD-000061,C00951
ORD-000062,C00691
ORD-000063,C00573
ORD-000064,C01043
ORD-000065,C00102
ORD-000066,C00100
ORD-000067,C00448
ORD-000068,C00409
ORD-000069,C00811
ORD-000070,C01121
ORD-000071,C00845
ORD-000072,C00926
ORD-000073,C00618
ORD-000074,C00726
ORD-000075,C01059
ORD-000076,C00354
ORD-000077,C00635
ORD-000078,C00737
ORD-000079,C00965
ORD-000080,C00022
ORD-000081,C01100
ORD-000082,C00916
ORD-000083,C00223
ORD-000084,C00094
ORD-000085,C00178
ORD-000086,C01053
ORD-000087,C01031
ORD-000088,C00270
ORD-000089,C00558
ORD-000090,C00201
ORD-000091,C00126
ORD-000092,C00505
ORD-000093,C00013
ORD-000094,C01167
