Order ID,Order Date,Region,State,Segment,Category,Sub-Category,Quantity,Discount,Sales,Profit,Order Date Parsed,Profit Ratio,Year,Month
ORD-000001,2014-08-09 08:37:27,West,WA,Corporate,Office Supplies,Paper,5,0.27,810.92,202.94,2014-08-09 08:37:27,0.2502589651260297,2014,Aug
ORD-000002,2018-12-22 14:51:21,Central,IN,Consumer,Technology,Machines,2,0.07,464.13,193.61,2018-12-22 14:51:21,0.417146058216448,2018,Dec
ORD-000003,2018-01-08 19:42:39,West,AZ,Corporate,Technology,Phones,4,0.19,26.67,105.1,2018-01-08 19:42:39,3.940757405324334,2018,Jan
ORD-000004,2015-02-01 05:42:15,East,PA,Corporate,Technology,Phones,6,0.12,641.75,38.59,2015-02-01 05:42:15,0.06013245033112583,2015,Feb
ORD-000005,2018-06-07 16:22:54,Central,OH,Consumer,Office Supplies,Paper,2,0.13,429.02,109.32,2018-06-07 16:22:54,0.25481329541746306,2018,Jun
ORD-000006,2018-11-10 14:15:32,Central,MO,Home Office,Technology,Accessories,2,0.15,552.0,110.78,2018-11-10 14:15:32,0.20068840579710145,2018,Nov
ORD-000007,2014-01-28 06:43:33,West,CA,Consumer,Office Supplies,Binders,4,0.1,26.67,-197.54,2014-01-28 06:43:33,-7.406824146981626,2014,Jan
ORD-000008,2018-09-30 08:09:29,Central,IL,Home Office,Technology,Accessories,2,0.13,209.47,2.74,2018-09-30 08:09:29,0.013080632071418343,2018,Sep
ORD-000009,2016-04-13 08:39:24,West,AZ,Corporate,Office Supplies,Storage,4,0.0,1668.91,123.79,2016-04-13 08:39:24,0.07417416157851532,2016,Apr
ORD-000010,2018-04-01 09:50:32,West,WA,Consumer,Technology,Accessories,5,0.26,539.88,,2018-04-01 09:50:32,,2018,Apr
ORD-000011,2016-06-07 15:09:23,East,VA,Consumer,Technology,Machines,3,0.14,751.7,93.53,2016-06-07 15:09:23,0.12442463748835972,2016,Jun
ORD-000012,2016-04-19 08:17:23,Central,MI,Corporate,Office Supplies,Accessories,4,0.24,1008.54,58.72,2016-04-19 08:17:23,0.05822277748031809,2016,Apr
