Order ID,Order Date,Region,State,Segment,Category,Sub-Category,Quantity,Discount,Sales,Profit
ORD-000001,2014-08-09 08:37:27,West, WA ,Corporate,Office Supplies,Paper,5,0.27,810.92,202.94
ORD-000002,2018-12-22 14:51:21,Central,IN,Consumer,Technology,Machines,2,0.07,464.13,193.61
ORD-000003,2018-01-08 19:42:39,West,AZ,Corporate,Technology,Phones,4,0.19,26.67,105.1
ORD-000004,2015-02-01 05:42:15,East,PA,Corporate,Technology,Phones,6,0.12,641.75,38.59
ORD-000005,2018-06-07 16:22:54,Central,OH,Consumer,Office Supplies,Paper,2,0.13,429.02,109.32
ORD-000006,2018-11-10 14:15:32,Central,MO,Home Office,Technology,Accessories,2,0.15,552.0,110.78
ORD-000007,2014-01-28 06:43:33,West,CA,Consumer,Office Supplies,Binders,4,0.1,26.67,-197.54
ORD-000008,2018-09-30 08:09:29,Central,IL,Home Office,Technology,Accessories,2,0.13,209.47,2.74
ORD-000009,2016-04-13 08:39:24,west,AZ,Corporate,Office Supplies,Storage,4,0.0,1668.91,123.79
ORD-000010,2018-04-01 09:50:32,West,WA,Consumer,Technology,Accessories,5,0.26,539.88,
ORD-000011,2016-06-07 15:09:23,East,VA,Consumer,Technology,Machines,3,0.14,751.7,93.53
ORD-000012,2016-04-19 08:17:23,Central,MI,Corporate,Office Supplies,Accessories,4,0.24,1008.54,58.72
ORD-000013,2018-03-08 18:08:22,Central,IN,Consumer,Furniture,Tables,1,0.1,295.01,-47.18
ORD-000014,2017-02-09 10:15:47,South,FL,Consumer,Office Supplies,Storage,5,0.26,1545.82,161.56
ORD-000015,2015-09-06 07:44:09,East,NY,Consumer,Technology,Copiers,4,0.33,456.99,25.87
ORD-000016,2014-12-17 16:51:15,East,VA,Consumer,Technology,Copiers,4,0.22,755.89,81.96
ORD-000017,2015-01-04 02:48:10,West,WA,Corporate,Office Supplies,Storage,4,0.24,276.47,-57.98
ORD-000018,2015-11-04 18:41:14,South,NC,Home Office,Office Supplies,Accessories,1,0.13,207.28,51.75
ORD-000019,2014-04-20 03:00:10,East,PA,Consumer,Office Supplies,Binders,7,0.0,2540.37,463.8
ORD-000020,2015-11-24 09:47:43,East,MD,Consumer,Furniture,Chairs,3,0.23,661.2,1.25
ORD-000021,2015-05-05 04:44:11,East,NY,Consumer,Office Supplies,Paper,5,0.12,669.21,45.38
ORD-000022,2015-03-25 12:27:19,South,TN,Consumer,Office Supplies,Binders,7,0.28,1416.65,125.71
ORD-000023,2018-04-25 18:36:15,East,NY,Consumer,Technology,Accessories,2,0.04,367.85,72.09
ORD-000024,2016-06-04 20:52:14,Central,MI,Corporate,Office Supplies,Storage,5,0.14,292.59,-15.86
ORD-000025,2017-06-30 13:34:44,West,WA,Corporate,Furniture,Furnishings,1,0.06,6.67,-71.05
ORD-000026,2016-01-12 23:31:44,East,MD,Consumer,Office Supplies,Accessories,2,0.12,713.21,10.27
ORD-000027,2015-04-12 10:21:54,South,GA,Corporate,Technology,Accessories,3,0.05,123.23,50.56
ORD-000028,2017-07-31 11:42:36,West,CO,Consumer,Office Supplies,Storage,4,0.31,204.25,160.5
ORD-000029,2016-07-03 13:59:57,West,CO,Consumer,Furniture,Bookcases,2,0.18,576.72,-10.83
ORD-000030,2018-10-03 22:57:11,South,TX,Consumer,Technology,Machines,5,0.22,1669.63,258.23
