date,category,revenue,cost,profit
2024-01-01,C,3830,1000,2830
2024-01-02,A,2589,2386,203
2024-01-03,C,1731,1327,404
2024-01-04,C,2916,2293,623
2024-01-05,A,1115,2695,-1580
2024-01-06,A,1448,1907,-459
2024-01-07,C,4711,566,4145
2024-01-08,B,3187,1708,1479
2024-01-09,C,2939,1915,1024
2024-01-10,C,435,2962,-2527
2024-01-11,C,4692,1191,3501
2024-01-12,C,995,2903,-1908
2024-01-13,A,3646,1982,1664
2024-01-14,C,951,864,87
2024-01-15,B,1787,2325,-538
2024-01-16,A,2031,1950,81
2024-01-17,B,3846,2313,1533
2024-01-18,B,2527,2112,415
2024-01-19,B,1668,2144,-476
2024-01-20,B,4100,2421,1679
2024-01-21,A,2838,2941,-103
2024-01-22,A,3598,179,3419
2024-01-23,B,4013,144,3869
2024-01-24,B,1166,2724,-1558
2024-01-25,A,4480,2852,1628
2024-01-26,A,2544,2005,539
2024-01-27,A,4207,843,3364
2024-01-28,C,3473,1884,1589
2024-01-29,C,4069,2166,1903
2024-01-30,C,2646,1733,913
2024-01-31,B,853,60,793
2024-02-01,C,2182,1915,267
2024-02-02,B,2874,2969,-95
2024-02-03,B,2996,2647,349
2024-02-04,C,4285,761,3524
2024-02-05,B,875,2120,-1245
2024-02-06,C,1725,864,861
2024-02-07,C,3169,395,2774
2024-02-08,A,517,2399,-1882
2024-02-09,C,214,412,-198
2024-02-10,A,716,2493,-1777
2024-02-11,C,4074,2315,1759
2024-02-12,C,3367,2238,1129
2024-02-13,A,925,1034,-109
2024-02-14,A,1616,1689,-73
2024-02-15,C,3246,877,2369
2024-02-16,B,512,2780,-2268
2024-02-17,A,828,405,423
2024-02-18,B,3448,1397,2051
2024-02-19,B,2908,2985,-77
2024-02-20,B,775,1913,-1138
2024-02-21,A,3565,176,3389
2024-02-22,B,2604,653,1951
2024-02-23,A,3067,1978,1089
2024-02-24,B,2886,1063,1823
2024-02-25,C,1222,100,1122
2024-02-26,C,4179,2876,1303
2024-02-27,A,1671,1480,191
2024-02-28,C,2243,1842,401
2024-02-29,C,1787,2911,-1124
2024-03-01,B,4232,1686,2546
2024-03-02,A,3951,1695,2256
2024-03-03,B,3540,2517,1023
2024-03-04,B,3866,1255,2611
2024-03-05,B,2426,2922,-496
2024-03-06,B,3014,1904,1110
2024-03-07,B,4052,616,3436
2024-03-08,B,695,2468,-1773
2024-03-09,B,828,985,-157
2024-03-10,A,1465,1984,-519
2024-03-11,C,4592,2758,1834
2024-03-12,B,798,1382,-584
2024-03-13,B,495,251,244
2024-03-14,B,4271,2410,1861
2024-03-15,B,4460,166,4294
2024-03-16,B,2602,986,1616
2024-03-17,B,1919,624,1295
2024-03-18,C,817,2341,-1524
2024-03-19,C,2882,586,2296
2024-03-20,B,3677,1675,2002
2024-03-21,C,243,2172,-1929
2024-03-22,A,3240,435,2805
2024-03-23,B,4591,524,4067
2024-03-24,A,3038,467,2571
2024-03-25,A,3736,2444,1292
2024-03-26,B,3322,2737,585
2024-03-27,C,1267,988,279
2024-03-28,A,2716,1004,1712
2024-03-29,B,1162,925,237
2024-03-30,A,2256,812,1444
2024-03-31,A,3082,1252,1830
2024-04-01,A,3394,1255,2139
2024-04-02,A,4829,713,4116
2024-04-03,C,1256,74,1182
2024-04-04,A,832,2040,-1208
2024-04-05,A,4430,1253,3177
2024-04-06,A,4946,759,4187
2024-04-07,C,1053,1929,-876
2024-04-08,A,2639,1234,1405
2024-04-09,A,3424,2274,1150
2024-04-10,C,3401,334,3067
2024-04-11,C,1642,112,1530
2024-04-12,C,1291,1052,239
2024-04-13,A,3093,711,2382
2024-04-14,C,2781,2763,18
2024-04-15,C,1317,2253,-936
2024-04-16,A,1640,1542,98
2024-04-17,C,3336,1016,2320
2024-04-18,A,2486,898,1588
2024-04-19,B,3819,1157,2662
2024-04-20,C,1488,738,750
2024-04-21,B,1956,197,1759
2024-04-22,A,1465,391,1074
2024-04-23,C,599,2573,-1974
2024-04-24,A,1780,1136,644
2024-04-25,B,610,1774,-1164
2024-04-26,A,4412,1433,2979
2024-04-27,C,1424,2658,-1234
2024-04-28,C,1255,376,879
2024-04-29,B,1927,1842,85
2024-04-30,A,3241,1809,1432
2024-05-01,C,3586,1039,2547
2024-05-02,B,1910,2312,-402
2024-05-03,C,3023,2532,491
2024-05-04,C,2314,1001,1313
2024-05-05,A,4286,772,3514
2024-05-06,C,813,2129,-1316
2024-05-07,A,3702,2767,935
2024-05-08,C,4234,2382,1852
2024-05-09,B,3622,478,3144
2024-05-10,C,4368,1550,2818
2024-05-11,A,4848,335,4513
2024-05-12,A,4949,2115,2834
2024-05-13,B,1343,818,525
2024-05-14,C,3809,2687,1122
2024-05-15,C,1181,1444,-263
2024-05-16,B,555,243,312
2024-05-17,C,994,2599,-1605
2024-05-18,C,1484,1037,447
2024-05-19,A,2058,1186,872
2024-05-20,C,3172,2211,961
2024-05-21,C,2096,1751,345
2024-05-22,B,4385,996,3389
2024-05-23,B,604,880,-276
2024-05-24,A,1314,1970,-656
2024-05-25,C,1631,104,1527
2024-05-26,C,3540,849,2691
2024-05-27,C,923,827,96
2024-05-28,A,1028,1531,-503
2024-05-29,A,233,1951,-1718
2024-05-30,B,2205,2259,-54
2024-05-31,A,3727,2184,1543
2024-06-01,C,4880,104,4776
2024-06-02,C,1952,1873,79
2024-06-03,A,4275,1251,3024
2024-06-04,C,3033,882,2151
2024-06-05,C,3384,362,3022
2024-06-06,A,4398,2856,1542
2024-06-07,A,2911,1908,1003
2024-06-08,C,1350,2057,-707
2024-06-09,C,3612,2056,1556
2024-06-10,C,1356,2540,-1184
2024-06-11,B,3476,1840,1636
2024-06-12,B,3586,377,3209
2024-06-13,B,3684,2858,826
2024-06-14,A,1496,2676,-1180
