date,category,revenue,cost,profit
2024-01-01,C,457,1617,-1160
2024-01-02,A,2522,2961,-439
2024-01-03,C,4357,1201,3156
2024-01-04,A,4645,1987,2658
2024-01-05,C,1597,418,1179
2024-01-06,B,2258,900,1358
2024-01-07,B,2655,92,2563
2024-01-08,A,2442,1957,485
2024-01-09,C,3051,2585,466
2024-01-10,B,1338,127,1211
2024-01-11,A,1073,2923,-1850
2024-01-12,A,4827,1874,2953
2024-01-13,B,4065,1343,2722
2024-01-14,B,1150,723,427
2024-01-15,A,3801,750,3051
2024-01-16,C,2880,808,2072
2024-01-17,C,1688,1973,-285
2024-01-18,C,3978,2825,1153
2024-01-19,A,2468,951,1517
2024-01-20,B,536,2986,-2450
2024-01-21,A,2928,1042,1886
2024-01-22,B,1656,1241,415
2024-01-23,C,3958,2436,1522
2024-01-24,C,1404,2290,-886
2024-01-25,B,2484,1526,958
2024-01-26,B,282,2380,-2098
2024-01-27,A,1689,439,1250
2024-01-28,C,1687,1049,638
2024-01-29,A,759,574,185
2024-01-30,A,259,1905,-1646
2024-01-31,A,4053,1556,2497
2024-02-01,C,1111,708,403
2024-02-02,A,152,2813,-2661
2024-02-03,A,2407,940,1467
2024-02-04,A,1328,1531,-203
2024-02-05,A,1135,501,634
2024-02-06,A,3802,2525,1277
2024-02-07,A,4145,1587,2558
2024-02-08,C,4549,932,3617
2024-02-09,A,1364,362,1002
2024-02-10,B,1984,889,1095
2024-02-11,A,1909,2616,-707
2024-02-12,A,3267,424,2843
2024-02-13,C,3897,500,3397
2024-02-14,C,2441,644,1797
2024-02-15,B,3514,1283,2231
2024-02-16,B,917,549,368
2024-02-17,C,2537,513,2024
2024-02-18,C,988,162,826
2024-02-19,A,767,1085,-318
2024-02-20,C,4828,2428,2400
2024-02-21,B,2724,1974,750
2024-02-22,A,4332,189,4143
2024-02-23,B,4623,1474,3149
2024-02-24,A,918,2999,-2081
2024-02-25,C,2288,566,1722
2024-02-26,B,1206,2666,-1460
2024-02-27,A,2324,1997,327
2024-02-28,A,297,2943,-2646
2024-02-29,C,2771,2215,556
2024-03-01,C,3592,937,2655
2024-03-02,C,2548,1391,1157
2024-03-03,B,570,99,471
2024-03-04,A,2048,68,1980
2024-03-05,C,3999,775,3224
2024-03-06,B,2110,2294,-184
2024-03-07,B,3900,1523,2377
2024-03-08,B,4218,2656,1562
2024-03-09,C,3896,501,3395
2024-03-10,C,4088,2386,1702
2024-03-11,A,334,1214,-880
2024-03-12,A,1028,1157,-129
2024-03-13,C,3707,2488,1219
2024-03-14,B,622,264,358
2024-03-15,B,3623,1599,2024
2024-03-16,B,4626,2312,2314
2024-03-17,A,4988,177,4811
2024-03-18,B,1729,1895,-166
2024-03-19,A,4728,809,3919
2024-03-20,A,1416,2501,-1085
2024-03-21,B,2957,1865,1092
2024-03-22,B,1224,2435,-1211
2024-03-23,C,2687,2928,-241
2024-03-24,C,1123,2811,-1688
2024-03-25,B,1478,410,1068
2024-03-26,A,3474,618,2856
2024-03-27,A,1619,1465,154
2024-03-28,A,326,2315,-1989
2024-03-29,A,991,1647,-656
2024-03-30,A,4172,1742,2430
2024-03-31,C,2357,251,2106
2024-04-01,B,2888,2114,774
2024-04-02,C,496,2419,-1923
2024-04-03,A,2178,567,1611
2024-04-04,A,4844,1398,3446
2024-04-05,A,4524,1485,3039
2024-04-06,A,3337,1391,1946
2024-04-07,B,3993,730,3263
2024-04-08,A,2105,2038,67
2024-04-09,B,2116,1541,575
2024-04-10,A,3271,474,2797
2024-04-11,B,2768,2018,750
2024-04-12,C,1978,1762,216
2024-04-13,A,1296,2484,-1188
2024-04-14,B,1872,827,1045
2024-04-15,C,261,2195,-1934
2024-04-16,A,4076,1876,2200
2024-04-17,A,1851,257,1594
2024-04-18,A,875,1587,-712
2024-04-19,B,1039,1709,-670
2024-04-20,B,3320,2683,637
2024-04-21,C,639,2263,-1624
2024-04-22,B,1561,71,1490
2024-04-23,B,455,203,252
2024-04-24,A,3704,2012,1692
