date,category,revenue,cost,profit
2024-01-01,B,3611,712,2899
2024-01-02,C,2841,2732,109
2024-01-03,B,3120,1039,2081
2024-01-04,A,328,238,90
2024-01-05,A,270,304,-34
2024-01-06,A,394,117,277
2024-01-07,A,4384,665,3719
2024-01-08,B,525,2433,-1908
2024-01-09,B,1018,2768,-1750
2024-01-10,C,3353,2918,435
2024-01-11,B,598,923,-325
2024-01-12,B,2909,2397,512
2024-01-13,B,925,1675,-750
2024-01-14,C,3879,406,3473
2024-01-15,A,1958,305,1653
2024-01-16,B,2218,1057,1161
2024-01-17,C,245,2450,-2205
2024-01-18,C,4665,1805,2860
2024-01-19,C,3677,2621,1056
2024-01-20,A,292,2853,-2561
2024-01-21,B,3988,333,3655
2024-01-22,C,151,148,3
2024-01-23,A,2510,246,2264
2024-01-24,C,1920,2579,-659
2024-01-25,C,3064,927,2137
2024-01-26,C,2621,1918,703
2024-01-27,C,1969,2712,-743
2024-01-28,C,2668,2715,-47
2024-01-29,A,1967,1438,529
2024-01-30,B,2838,2465,373
2024-01-31,B,3369,619,2750
2024-02-01,B,3299,2687,612
2024-02-02,B,2679,1115,1564
2024-02-03,A,4105,471,3634
2024-02-04,A,340,2933,-2593
2024-02-05,A,3540,1254,2286
2024-02-06,C,4731,594,4137
2024-02-07,C,1507,120,1387
2024-02-08,C,3602,1273,2329
2024-02-09,B,4138,817,3321
2024-02-10,C,182,2404,-2222
2024-02-11,B,3868,1756,2112
2024-02-12,C,1050,2474,-1424
2024-02-13,B,710,704,6
2024-02-14,C,4769,2775,1994
2024-02-15,C,3705,2496,1209
2024-02-16,A,4654,1846,2808
2024-02-17,C,3383,270,3113
2024-02-18,C,2273,231,2042
2024-02-19,A,3584,356,3228
2024-02-20,B,1622,2619,-997
2024-02-21,A,2701,1469,1232
2024-02-22,A,2757,1063,1694
2024-02-23,B,2259,2101,158
2024-02-24,C,2549,2960,-411
2024-02-25,B,3930,897,3033
2024-02-26,C,221,853,-632
2024-02-27,C,4468,264,4204
2024-02-28,B,1417,1493,-76
2024-02-29,A,4593,150,4443
2024-03-01,B,2618,622,1996
2024-03-02,C,1330,1382,-52
2024-03-03,B,1233,707,526
2024-03-04,B,1401,1583,-182
2024-03-05,C,4134,1706,2428
2024-03-06,A,2010,275,1735
2024-03-07,B,1605,154,1451
2024-03-08,C,3285,2047,1238
2024-03-09,C,2016,821,1195
2024-03-10,B,3648,478,3170
2024-03-11,A,2857,483,2374
2024-03-12,B,2056,1280,776
2024-03-13,A,278,2779,-2501
2024-03-14,A,996,2685,-1689
2024-03-15,A,1651,915,736
2024-03-16,A,591,2843,-2252
2024-03-17,B,160,2961,-2801
2024-03-18,C,1177,2465,-1288
2024-03-19,C,2995,300,2695
2024-03-20,C,4260,2956,1304
2024-03-21,C,3783,905,2878
2024-03-22,C,685,1243,-558
2024-03-23,C,4060,610,3450
2024-03-24,B,3870,1519,2351
2024-03-25,A,634,2391,-1757
2024-03-26,C,3562,968,2594
2024-03-27,B,4111,1223,2888
2024-03-28,C,3498,482,3016
2024-03-29,C,2255,2156,99
2024-03-30,A,1104,1018,86
2024-03-31,A,2599,885,1714
2024-04-01,A,426,2296,-1870
2024-04-02,C,4803,2312,2491
2024-04-03,C,2806,947,1859
2024-04-04,C,101,521,-420
2024-04-05,A,1133,296,837
2024-04-06,B,2581,2479,102
2024-04-07,C,224,1040,-816
2024-04-08,C,1204,976,228
2024-04-09,C,2799,1241,1558
2024-04-10,B,1961,2657,-696
2024-04-11,C,3020,1124,1896
2024-04-12,B,228,1884,-1656
2024-04-13,C,537,738,-201
2024-04-14,B,4946,2477,2469
2024-04-15,C,2648,2571,77
2024-04-16,A,3229,2794,435
2024-04-17,A,1321,1534,-213
2024-04-18,A,1001,1009,-8
2024-04-19,A,3268,527,2741
2024-04-20,C,4586,756,3830
2024-04-21,A,4018,2951,1067
2024-04-22,B,1167,1187,-20
2024-04-23,A,126,803,-677
2024-04-24,A,647,2600,-1953
2024-04-25,A,2768,1709,1059
2024-04-26,C,666,2914,-2248
2024-04-27,A,803,637,166
2024-04-28,B,4380,1384,2996
2024-04-29,A,3240,1542,1698
2024-04-30,A,1690,1897,-207
2024-05-01,A,4794,2805,1989
2024-05-02,B,905,256,649
2024-05-03,A,3891,2248,1643
2024-05-04,B,1457,2765,-1308
2024-05-05,B,3325,2625,700
2024-05-06,A,3718,214,3504
2024-05-07,B,2226,2048,178
2024-05-08,C,2560,2134,426
2024-05-09,A,645,382,263
2024-05-10,A,2828,452,2376
2024-05-11,B,3834,463,3371
2024-05-12,B,2662,94,2568
2024-05-13,A,2179,2303,-124
2024-05-14,C,2741,111,2630
2024-05-15,B,3214,2517,697
2024-05-16,B,2026,917,1109
2024-05-17,C,716,1541,-825
2024-05-18,C,3744,2917,827
2024-05-19,A,1303,68,1235
2024-05-20,C,1859,414,1445
2024-05-21,A,2665,2525,140
2024-05-22,C,3274,1190,2084
2024-05-23,B,3181,629,2552
2024-05-24,A,2730,595,2135
2024-05-25,A,3261,1779,1482
2024-05-26,A,4421,2422,1999
2024-05-27,C,769,104,665
2024-05-28,B,3268,827,2441
2024-05-29,A,2221,91,2130
2024-05-30,A,4178,1370,2808
2024-05-31,A,4251,280,3971
2024-06-01,A,819,502,317
