show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,duration_min,seasons,primary_genre
s100000,Movie,Title 0001,Unknown,Unknown,France,2019-08-16,2016,TV-14,108 min,International TV Shows,A Netflix title used for portfolio analytics.,2019,8,108.0,,International TV Shows
s100001,TV Show,Title 0002,Unknown,Unknown,United States,2016-02-07,2003,TV-MA,2 Seasons,Action & Adventure,A Netflix title used for portfolio analytics.,2016,2,,2.0,Action & Adventure
s100002,Movie,Title 0003,Director S,"Actor A, Actor B",Italy,2013-11-18,1997,NR,104 min,Thrillers,A Netflix title used for portfolio analytics.,2013,11,104.0,,Thrillers
s100003,TV Show,Title 0004,Director F,Unknown,"South Korea, Australia",2010-09-13,1996,R,2 Seasons,"Horror Movies, TV Dramas",A Netflix title used for portfolio analytics.,2010,9,,2.0,Horror Movies
s100004,TV Show,Title 0005,Unknown,"Actor A, Actor B",United States,2018-05-05,2019,TV-MA,4 Seasons,International Movies,A Netflix title used for portfolio analytics.,2018,5,,4.0,International Movies
s100005,Movie,Title 0006,Unknown,"Actor A, Actor B",Brazil,2013-03-11,2008,NR,75 min,Kids' TV,A Netflix title used for portfolio analytics.,2013,3,75.0,,Kids' TV
s100006,Movie,Title 0007,Unknown,Unknown,"United States, Spain",2020-09-19,2006,TV-14,120 min,Action & Adventure,A Netflix title used for portfolio analytics.,2020,9,120.0,,Action & Adventure
s100007,Movie,Title 0008,Director G,Unknown,Mexico,2018-09-11,2019,TV-MA,103 min,Thrillers,A Netflix title used for portfolio analytics.,2018,9,103.0,,Thrillers
s100008,Movie,Title 0009,Director B,Unknown,"India, Mexico",2019-10-12,2019,TV-PG,103 min,Kids' TV,A Netflix title used for portfolio analytics.,2019,10,103.0,,Kids' TV
s100009,Movie,Title 0010,Director Q,"Actor A, Actor B",United States,2017-12-31,1983,TV-MA,134 min,"Comedies, Stand-Up Comedy",A Netflix title used for portfolio analytics.,2017,12,134.0,,Comedies
s100010,Movie,Title 0011,Unknown,"Actor A, Actor B",India,2019-05-17,2000,PG,89 min,"Dramas, TV Comedies",A Netflix title used for portfolio analytics.,2019,5,89.0,,Dramas
s100011,TV Show,Title 0012,Director R,Unknown,United States,2010-05-16,2013,R,2 Seasons,International TV Shows,A Netflix title used for portfolio analytics.,2010,5,,2.0,International TV Shows
s100012,Movie,Title 0013,Unknown,Unknown,United States,2020-08-30,2005,TV-14,91 min,Thrillers,A Netflix title used for portfolio analytics.,2020,8,91.0,,Thrillers
s100013,Movie,Title 0014,Director F,"Actor A, Actor B",Germany,2017-12-14,2007,TV-14,127 min,TV Comedies,A Netflix title used for portfolio analytics.,2017,12,127.0,,TV Comedies
s100014,Movie,Title 0015,Unknown,Unknown,"United States, Germany",2011-04-04,1995,TV-MA,77 min,Comedies,A Netflix title used for portfolio analytics.,2011,4,77.0,,Comedies
s100015,TV Show,Title 0016,Unknown,"Actor A, Actor B","United States, Brazil",2017-02-15,2009,TV-MA,3 Seasons,Documentaries,A Netflix title used for portfolio analytics.,2017,2,,3.0,Documentaries
s100016,Movie,Title 0017,Unknown,"Actor A, Actor B",United States,2017-09-19,2011,TV-MA,124 min,"Kids' TV, Stand-Up Comedy",A Netflix title used for portfolio analytics.,2017,9,124.0,,Kids' TV
s100017,Movie,Title 0018,Director W,"Actor A, Actor B",Australia,2008-10-05,2006,TV-14,66 min,Thrillers,A Netflix title used for portfolio analytics.,2008,10,66.0,,Thrillers
s100018,TV Show,Title 0019,Unknown,"Actor A, Actor B","South Korea, Germany",2019-10-06,2011,TV-MA,5 Seasons,"Dramas, TV Comedies",A Netflix title used for portfolio analytics.,2019,10,,5.0,Dramas
s100019,Movie,Title 0020,Unknown,"Actor A, Actor B",Germany,2017-10-28,2003,TV-14,82 min,"International TV Shows, Stand-Up Comedy",A Netflix title used for portfolio analytics.,2017,10,82.0,,International TV Shows
s100020,Movie,Title 0021,Director W,"Actor A, Actor B",South Korea,2010-01-30,2012,TV-14,99 min,"Comedies, TV Comedies",A Netflix title used for portfolio analytics.,2010,1,99.0,,Comedies
s100021,TV Show,Title 0022,Unknown,"Actor A, Actor B",India,2020-10-12,2009,PG,4 Seasons,Romantic Movies,A Netflix title used for portfolio analytics.,2020,10,,4.0,Romantic Movies
s100022,Movie,Title 0023,Director T,"Actor A, Actor B","United States, Australia",2013-11-04,2014,TV-14,47 min,"International Movies, Kids' TV",A Netflix title used for portfolio analytics.,2013,11,47.0,,International Movies
s100023,Movie,Title 0024,Unknown,"Actor A, Actor B",Italy,2010-07-01,2009,TV-MA,103 min,International TV Shows,A Netflix title used for portfolio analytics.,2010,7,103.0,,International TV Shows
s100024,TV Show,Title 0025,Unknown,Unknown,Turkey,2009-06-07,2004,R,3 Seasons,Kids' TV,A Netflix title used for portfolio analytics.,2009,6,,3.0,Kids' TV
s100025,Movie,Title 0026,Director G,"Actor A, Actor B",United Kingdom,2018-05-16,1995,TV-MA,99 min,International TV Shows,A Netflix title used for portfolio analytics.,2018,5,99.0,,International TV Shows
s100026,Movie,Title 0027,Director J,"Actor A, Actor B",United States,2011-07-21,2008,PG-13,73 min,"Action & Adventure, International TV Shows",A Netflix title used for portfolio analytics.,2011,7,73.0,,Action & Adventure
s100027,TV Show,Title 0028,Director A,Unknown,"Australia, Italy",2018-12-16,1979,TV-14,4 Seasons,Comedies,A Netflix title used for portfolio analytics.,2018,12,,4.0,Comedies
s100028,Movie,Title 0029,Director F,"Actor A, Actor B","Turkey, Canada",2012-02-13,1991,TV-G,61 min,"Documentaries, Dramas",A Netflix title used for portfolio analytics.,2012,2,61.0,,Documentaries
s100029,Movie,Title 0030,Unknown,Unknown,South Korea,2010-09-29,2000,TV-MA,127 min,International TV Shows,A Netflix title used for portfolio analytics.,2010,9,127.0,,International TV Shows
s100030,Movie,Title 0031,Unknown,Unknown,Spain,2016-07-15,2013,TV-MA,104 min,Romantic Movies,A Netflix title used for portfolio analytics.,2016,7,104.0,,Romantic Movies
s100031,Movie,Title 0032,Unknown,Unknown,United States,2016-12-23,2015,PG-13,149 min,Comedies,A Netflix title used for portfolio analytics.,2016,12,149.0,,Comedies
s100032,Movie,Title 0033,Unknown,"Actor A, Actor B",United States,2018-03-10,2016,TV-MA,110 min,Documentaries,A Netflix title used for portfolio analytics.,2018,3,110.0,,Documentaries
s100033,Movie,Title 0034,Director J,Unknown,United States,2011-02-19,2004,TV-MA,78 min,Dramas,A Netflix title used for portfolio analytics.,2011,2,78.0,,Dramas
s100034,Movie,Title 0035,Unknown,Unknown,United States,2016-09-06,2015,TV-14,110 min,Horror Movies,A Netflix title used for portfolio analytics.,2016,9,110.0,,Horror Movies
s100035,TV Show,Title 0036,Director B,Unknown,United States,2014-03-23,1999,TV-Y7,3 Seasons,Kids' TV,A Netflix title used for portfolio analytics.,2014,3,,3.0,Kids' TV
s100036,TV Show,Title 0037,Unknown,"Actor A, Actor B","South Korea, Germany",2018-12-26,1993,TV-14,2 Seasons,Romantic Movies,A Netflix title used for portfolio analytics.,2018,12,,2.0,Romantic Movies
