order_id,order_date,region,state,segment,category,quantity,discount,sales,profit,customer_id,profit_ratio,profit_per_order,sales_per_customer,year,month
ORD-100000,2016-08-29,West,Colorado,Corporate,Office Supplies,2,0.0325,154.09,22.19,C10088,0.144,22.19,1827.34,2016,2016-08
ORD-100001,2017-05-18,South,Kentucky,Corporate,Furniture,3,0.0364,403.47,47.19,C13570,0.117,47.19,2947.08,2017,2017-05
ORD-100002,2016-02-14,East,Georgia,Consumer,Furniture,2,0.127,233.34,14.18,C13852,0.0608,14.18,3979.3,2016,2016-02
ORD-100003,2014-02-20,Central,Iowa,Consumer,Technology,4,0.0947,1039.38,135.21,C12731,0.1301,135.21,1284.13,2014,2014-02
ORD-100004,2015-01-06,Central,Kansas,Consumer,Office Supplies,3,0.0868,162.38,27.78,C10212,0.1711,27.78,1177.94,2015,2015-01
ORD-100005,2017-02-20,Central,Illinois,Corporate,Furniture,1,0.0054,183.56,18.78,C10031,0.1023,18.78,2477.82,2017,2017-02
ORD-100006,2017-12-16,West,Utah,Consumer,Technology,2,0.0746,538.56,32.67,C11509,0.0607,32.67,2738.48,2017,2017-12
ORD-100007,2015-12-04,East,North Carolina,Corporate,Office Supplies,3,0.1271,215.72,17.43,C10212,0.0808,17.43,1177.94,2015,2015-12
ORD-100008,2015-09-05,West,Washington,Consumer,Office Supplies,1,0.2339,39.84,5.36,C11175,0.1345,5.36,1650.34,2015,2015-09
ORD-100009,2015-05-29,West,Washington,Corporate,Technology,2,0.1061,208.97,9.21,C13327,0.0441,9.21,1259.98,2015,2015-05
ORD-100010,2016-01-26,East,Virginia,Consumer,Office Supplies,3,0.1591,140.17,20.19,C11915,0.144,20.19,841.1,2016,2016-01
ORD-100011,2014-07-24,East,Pennsylvania,Consumer,Furniture,2,0.17,90.02,9.68,C10096,0.1075,9.68,295.72,2014,2014-07
ORD-100012,2016-04-22,South,Alabama,Consumer,Office Supplies,4,0.0161,121.41,11.18,C13068,0.0921,11.18,1741.9,2016,2016-04
ORD-100013,2015-03-26,Central,Michigan,Consumer,Furniture,2,0.0045,391.95,51.35,C11375,0.131,51.35,1674.87,2015,2015-03
ORD-100014,2017-12-25,West,California,Corporate,Office Supplies,2,0.0727,153.87,30.09,C13450,0.1956,30.09,2271.43,2017,2017-12
ORD-100015,2016-04-11,South,South Carolina,Consumer,Technology,3,0.1573,474.22,51.48,C10025,0.1086,51.48,2786.41,2016,2016-04
ORD-100016,2017-07-03,West,Oregon,Corporate,Office Supplies,6,0.0223,322.6,69.01,C12918,0.2139,69.01,891.9,2017,2017-07
ORD-100017,2014-08-24,West,Oregon,Corporate,Office Supplies,4,0.0684,263.34,28.02,C12743,0.1064,28.02,263.34,2014,2014-08
ORD-100018,2014-05-05,Central,Iowa,Corporate,Furniture,5,0.1275,1262.67,176.41,C10706,0.1397,176.41,4416.92,2014,2014-05
ORD-100019,2014-11-03,East,Florida,Consumer,Office Supplies,4,0.0732,279.68,79.13,C13564,0.2829,79.13,1406.32,2014,2014-11
ORD-100020,2017-06-18,Central,Wisconsin,Consumer,Technology,3,0.1445,513.13,88.09,C10673,0.1717,88.09,1056.27,2017,2017-06
ORD-100021,2016-05-20,South,Alabama,Consumer,Office Supplies,4,0.0401,286.77,50.8,C11263,0.1771,50.8,1396.95,2016,2016-05
ORD-100022,2016-09-27,Central,Ohio,Corporate,Office Supplies,1,0.2681,48.28,7.21,C10859,0.1493,7.21,750.49,2016,2016-09
ORD-100023,2015-08-22,West,Idaho,Corporate,Furniture,4,0.1448,749.8,46.39,C10989,0.0619,46.39,4548.54,2015,2015-08
ORD-100024,2017-09-03,Central,Michigan,Consumer,Technology,3,0.3231,534.98,40.17,C11602,0.0751,40.17,818.87,2017,2017-09
ORD-100025,2015-10-25,Central,Illinois,Consumer,Furniture,2,0.1399,319.69,-2.18,C11570,-0.0068,-2.18,593.55,2015,2015-10
ORD-100026,2016-06-08,East,New Jersey,Home Office,Technology,3,0.0856,724.1,-55.2,C11775,-0.0762,-55.2,2939.55,2016,2016-06
ORD-100027,2017-04-25,East,Massachusetts,Consumer,Furniture,2,0.1754,375.21,12.47,C11592,0.0332,12.47,2166.06,2017,2017-04
ORD-100028,2015-11-15,West,Oregon,Consumer,Office Supplies,2,0.1601,139.91,18.31,C13466,0.1309,18.31,1057.1,2015,2015-11
ORD-100029,2015-05-04,South,Oklahoma,Corporate,Office Supplies,3,0.0484,151.23,15.24,C11068,0.1008,15.24,267.98,2015,2015-05
ORD-100030,2014-10-04,East,Georgia,Home Office,Furniture,3,0.0676,871.63,58.96,C11467,0.0676,58.96,1259.02,2014,2014-10
ORD-100031,2014-02-22,West,Nevada,Consumer,Office Supplies,3,0.0492,124.28,-31.26,C12654,-0.2515,-31.26,1419.07,2014,2014-02
ORD-100032,2016-08-12,Central,Wisconsin,Consumer,Furniture,3,0.0486,543.06,88.65,C10078,0.1632,88.65,3333.56,2016,2016-08
ORD-100033,2015-04-30,East,Massachusetts,Consumer,Office Supplies,5,0.1526,393.54,50.98,C13760,0.1295,50.98,1628.86,2015,2015-04
ORD-100034,2015-07-17,East,North Carolina,Consumer,Furniture,2,0.0454,613.68,31.09,C11437,0.0507,31.09,3645.67,2015,2015-07
ORD-100035,2017-08-28,South,Arkansas,Corporate,Furniture,3,0.1134,182.16,17.23,C10228,0.0946,17.23,3543.01,2017,2017-08
