order_id,order_date,region,state,segment,category,quantity,discount,sales,profit,customer_id
ORD-100000,2016-08-29,West,Colorado,Corporate,Office Supplies,2,0.0325,154.09,22.19,C10088
ORD-100001,2017-05-18,South,Kentucky,Corporate,Furniture,3,0.0364,403.47,47.19,C13570
ORD-100002,2016-02-14,East,Georgia,Consumer,Furniture,2,0.127,233.34,14.18,C13852
ORD-100003,2014-02-20,Central,Iowa,Consumer,Technology,4,0.0947,1039.38,135.21,C12731
ORD-100004,2015-01-06,Central,Kansas,Consumer,Office Supplies,3,0.0868,162.38,27.78,C10212
ORD-100005,2017-02-20,Central,Illinois,Corporate,Furniture,1,0.0054,183.56,18.78,C10031
ORD-100006,2017-12-16,West,Utah,Consumer,Technology,2,0.0746,538.56,32.67,C11509
ORD-100007,2015-12-04,East,North Carolina,Corporate,Office Supplies,3,0.1271,215.72,17.43,C10212
ORD-100008,2015-09-05,West,Washington,Consumer,Office Supplies,1,0.2339,39.84,5.36,C11175
ORD-100009,2015-05-29,West,Washington,Corporate,Technology,2,0.1061,208.97,9.21,C13327
ORD-100010,2016-01-26,East,Virginia,Consumer,Office Supplies,3,0.1591,140.17,20.19,C11915
ORD-100011,2014-07-24,East,Pennsylvania,Consumer,Furniture,2,0.17,90.02,9.68,C10096
ORD-100012,2016-04-22,South,Alabama,Consumer,Office Supplies,4,0.0161,121.41,11.18,C13068
ORD-100013,2015-03-26,Central,Michigan,Consumer,Furniture,2,0.0045,391.95,51.35,C11375
ORD-100014,2017-12-25,West,California,Corporate,Office Supplies,2,0.0727,153.87,30.09,C13450
ORD-100015,2016-04-11,South,South Carolina,Consumer,Technology,3,0.1573,474.22,51.48,C10025
ORD-100016,2017-07-03,West,Oregon,Corporate,Office Supplies,6,0.0223,322.6,69.01,C12918
ORD-100017,2014-08-24,West,OREGON,Corporate,Office Supplies,4,0.0684,263.34,28.02,C12743
ORD-100018,2014-05-05,Central,Iowa,Corporate,Furniture,5,0.1275,1262.67,176.41,C10706
ORD-100019,2014-11-03,East,Florida,Consumer,Office Supplies,4,0.0732,279.68,79.13,C13564
ORD-100020,2017-06-18,Central,Wisconsin,Consumer,Technology,3,0.1445,513.13,88.09,C10673
ORD-100021,2016-05-20,South,Alabama,Consumer,Office Supplies,4,0.0401,286.77,50.8,C11263
ORD-100022,2016-09-27,Central,Ohio,Corporate,Office Supplies,1,0.2681,48.28,7.21,C10859
ORD-100023,2015-08-22,West,Idaho,Corporate,Furniture,4,0.1448,749.8,46.39,C10989
ORD-100024,2017-09-03,Central,Michigan,Consumer,Technology,3,0.3231,534.98,40.17,C11602
ORD-100025,2015-10-25,Central,Illinois,Consumer,Furniture,2,0.1399,319.69,-2.18,C11570
ORD-100026,2016-06-08,East,New Jersey,Home Office,Technology,3,0.0856,724.1,-55.2,C11775
ORD-100027,2017-04-25,East,Massachusetts,Consumer,Furniture,2,0.1754,375.21,12.47,C11592
ORD-100028,2015-11-15,West,Oregon,Consumer,Office Supplies,2,0.1601,139.91,18.31,C13466
ORD-100029,2015-05-04,South,Oklahoma,Corporate,Office Supplies,3,0.0484,151.23,15.24,C11068
ORD-100030,2014-10-04,East,Georgia,Home Office,Furniture,3,0.0676,871.63,58.96,C11467
ORD-100031,2014-02-22,West,Nevada,Consumer,Office Supplies,3,0.0492,124.28,-31.26,C12654
ORD-100032,2016-08-12,Central,Wisconsin,Consumer,Furniture,3,0.0486,543.06,88.65,C10078
ORD-100033,2015-04-30,East,Massachusetts,Consumer,Office Supplies,5,0.1526,393.54,50.98,C13760
ORD-100034,2015-07-17,East,North Carolina,Consumer,Furniture,2,0.0454,613.68,31.09,C11437
ORD-100035,2017-08-28,South,Arkansas,Corporate,Furniture,3,0.1134,182.16,17.23,C10228
ORD-100036,2017-01-11,West,Utah,Corporate,Furniture,2,0.0827,255.47,39.09,C11988
ORD-100037,2017-08-10,West,Nevada,Consumer,Office Supplies,7,0.1728,390.87,38.11,C11363
ORD-100038,2015-01-06,West,Washington,Corporate,Office Supplies,6,0.1032,157.0,30.47,C11432
ORD-100039,2014-09-08,East,Georgia,Corporate,Technology,2,0.0137,400.41,53.6,C11361
ORD-100040,2015-04-23,South,Louisiana,Consumer,Furniture,1,0.0313,164.0,23.65,C13082
ORD-100041,2016-07-20,Central,Illinois,Consumer,Furniture,1,0.2934,114.82,11.54,C11908
ORD-100042,2016-02-22,South,Kentucky,Consumer,Office Supplies,1,0.0105,38.48,5.8,C10004
ORD-100043,2014-08-31,West,Idaho,Consumer,Office Supplies,4,0.037,337.31,53.32,C13692
ORD-100044,2014-10-01,East,Virginia,Corporate,Technology,3,0.1726,837.17,150.22,C13307
ORD-100045,2016-05-10,Central,Ohio,Consumer,Technology,4,0.0593,683.71,138.8,C13467
ORD-100046,2016-11-20,West,Colorado,Corporate,Office Supplies,6,0.2865,206.01,29.37,C10362
ORD-100047,2017-03-09,West,Colorado,Home Office,Technology,5,0.0722,1153.1,116.36,C13667
ORD-100048,2015-04-12,East,Georgia,Consumer,Furniture,3,0.1318,1009.92,47.59,C11442
ORD-100049,2016-05-29,West,Utah,Corporate,Furniture,2,0.1938,209.59,-10.64,C12172
