year,gender,name,occurrences
1910,M,James,27613.0
1910,M,Robert,64389.0
1910,M,John,37264.0
1910,M,Michael,908.0
1910,Male,David,2472.0
1910,M,William,3759.0
1910,M,Richard,5348.0
1910,Male,Joseph,5313.0
1910,M,Thomas,6269.0
1910,M,Charles,4948.0
1910,M,Jacob,1450.0
1910,M,Christopher,5618.0
1910,M,Joshua,6683.0
1910,M,Jason,5711.0
1910,M,Daniel,
1910,F,Mary,77558.0
1910,F,Linda,987.0
1910,F,Susan,4051.0
1910,F,Barbara,6466.0
1910,F,Patricia,3724.0
1910,F,Deborah,4825.0
1910,F,Debra,4192.0
1910,F,Betty,5297.0
1910,F,Dorothy,5503.0
1910,F,Lisa,5247.0
1910,F,Jennifer,
1910,F,Ashley,295.0
1910,F,Jessica,505.0
1910,F,EMILY,4952.0
1910,F,Emma,835.0
1911,M,James,66411.0
1911,M,Robert,90786.0
1911,M,John,98950.0
1911,M,Michael,855.0
1911,M,David,4066.0
1911,M,William,4717.0
1911,M,Richard,3074.0
1911,M,Joseph,4078.0
1911,M,Thomas,4649.0
1911,M,Charles,4728.0
1911,M,Jacob,1201.0
1911,M,Christopher,4832.0
1911,M,Joshua,2981.0
1911,M,Jason,5387.0
1911,M,Daniel,2739.0
1911,F,Mary,70051.0
1911,F,Linda,1265.0
1911,F,SUSAN,4647.0
1911,F,Barbara,4131.0
1911,F,Patricia,6666.0
1911,F,Deborah,3083.0
1911,F,Debra,6804.0
1911,F,Betty,2520.0
1911,F,Dorothy,6513.0
1911,F,Lisa,3932.0
1911,F,Jennifer,1895.0
1911,F,Ashley,1937.0
1911,F,Jessica,1825.0
1911,F,Emily,3784.0
1911,F,Emma,1663.0
1912,M,James,34851.0
1912,M,Robert,93684.0
1912,M,John,31731.0
1912,M,Michael,2361.0
1912,M,David,6577.0
1912,M,William,4139.0
1912,M,Richard,6983.0
1912,M,Joseph,7301.0
1912,M,Thomas,6875.0
1912,M,Charles,7465.0
1912,M,Jacob,1691.0
1912,M,Christopher,4465.0
1912,M,Joshua,5395.0
1912,M,Jason,4450.0
1912,M,Daniel,3792.0
1912,F,Mary,83937.0
1912,F,LINDA,1208.0
1912,F,Susan,6720.0
1912,F,Barbara,5771.0
1912,F,Patricia,6279.0
1912,F,Deborah,8407.0
1912,F,Debra,6637.0
1912,F,Betty,3599.0
1912,F,Dorothy,
1912,F,Lisa,4939.0
1912,F,Jennifer,1913.0
1912,F,Ashley,446.0
1912,F,Jessica,1529.0
1912,F,Emily,6551.0
1912,Female,Emma,520.0
1913,M,James,77491.0
1913,M,Robert,90411.0
1913,M,John,104358.0
1913,M,Michael,908.0
1913,M,David,8600.0
1913,M,William,7482.0
1913,M,Richard,7692.0
1913,M,Joseph,6656.0
1913,M,Thomas,7752.0
1913,Male,Charles,2696.0
1913,M,Jacob,275.0
1913,M,Christopher,5366.0
1913,M,Joshua,5973.0
1913,M,Jason,4566.0
1913,M,Daniel,4285.0
1913,F,Mary,106239.0
1913,F,Linda,1799.0
1913,F,Susan,2698.0
1913,F,Barbara,4799.0
1913,F,Patricia,6414.0
1913,F,Deborah,4890.0
1913,F,Debra,4026.0
1913,F,Betty,7022.0
1913,F,Dorothy,5061.0
1913,F,Lisa,8518.0
1913,F,Jennifer,1765.0
1913,F,Ashley,895.0
1913,F,Jessica,1863.0
1913,F,Emily,2691.0
1913,F,Emma,558.0
1914,M,James,29620.0
1914,M,Robert,84381.0
1914,M,John,101068.0
1914,M,Michael,1329.0
1914,M,David,6662.0
1914,M,William,8469.0
1914,M,Richard,4075.0
1914,M,Joseph,5462.0
1914,M,Thomas,7407.0
1914,M,Charles,4113.0
1914,M,Jacob,733.0
1914,M,Christopher,4705.0
1914,M,Joshua,8128.0
1914,M,Jason,8487.0
1914,M,Daniel,7372.0
1914,F,Mary,44231.0
1914,F,Linda,838.0
1914,F,Susan,
1914,F,Barbara,8631.0
1914,F,Patricia,6296.0
1914,F,Deborah,7557.0
1914,F,Debra,3603.0
1914,F,Betty,3836.0
1914,F,Dorothy,5115.0
1914,F,Lisa,5908.0
1914,F,Jennifer,2005.0
1914,F,Ashley,1287.0
1914,F,Jessica,
1914,F,Emily,7563.0
1914,F,Emma,1690.0
1915,M,James,78498.0
1915,M,Robert,
1915,M,John,47573.0
1915,M,Michael,1745.0
1915,M,David,7559.0
1915,M,William,6031.0
1915,M,Richard,6401.0
1915,M,Joseph,9420.0
1915,M,Thomas,8550.0
1915,M,Charles,10306.0
1915,M,Jacob,1625.0
1915,Male,Christopher,11164.0
1915,M,Joshua,6300.0
1915,M,Jason,8940.0
1915,M,Daniel,6638.0
1915,F,Mary,37577.0
1915,F,Linda,1880.0
1915,F,Susan,8688.0
1915,F,Barbara,3961.0
1915,F,Patricia,6378.0
1915,F,Deborah,4985.0
1915,Female,Debra,9784.0
1915,F,Betty,3572.0
1915,F,Dorothy,8845.0
1915,F,Lisa,8395.0
1915,F,Jennifer,2732.0
1915,F,Ashley,850.0
1915,F,Jessica,670.0
1915,F,Emily,10972.0
1915,F,Emma,1366.0
1916,M,James,58605.0
1916,M,Robert,117402.0
1916,M,John,49543.0
1916,M,Michael,2361.0
1916,M,David,8006.0
1916,M,William,9722.0
1916,M,Richard,5731.0
1916,M,Joseph,8739.0
1916,M,Thomas,12392.0
1916,M,Charles,11374.0
1916,M,Jacob,1337.0
1916,M,Christopher,4279.0
1916,M,Joshua,9519.0
1916,M,Jason,5399.0
1916,M,DANIEL,11940.0
1916,F,Mary,91407.0
1916,F,Linda,2675.0
1916,F,Susan,10154.0
1916,F,Barbara,7430.0
1916,Female,Patricia,10882.0
1916,F,Deborah,8749.0
1916,F,Debra,4589.0
1916,F,BETTY,9581.0
1916,Female,Dorothy,6172.0
1916,F,Lisa,6478.0
1916,F,Jennifer,1431.0
1916,F,Ashley,719.0
